# Pharos pharos.watch | Endpoint: depeg-history | As of: 2026-05-16T21:20:16.676Z | URL: https://pharos.watch/datasets/depeg-history/latest.csv | Methodology: depeg-dews v6.0 | Freshness: point-in-time sample; not guaranteed to track production freshness
id,stablecoinId,symbol,direction,peakDeviationBps,startedAtISO,endedAtISO,durationSec,startPrice,peakPrice,recoveryPrice,pegReference,source
89660,pmusd-precious-metals,pmUSD,below,-102,2026-04-20T02:34:47.000Z,2026-04-20T06:34:17.000Z,14370,0.9898126711335016,0.9896775229883521,0.98977,0.999828,live
89661,alusd-alchemix,ALUSD,below,-100,2026-04-20T02:34:47.000Z,2026-04-20T02:49:04.000Z,857,0.989813,0.989813,0.989926,0.999828,live
89658,pmusd-precious-metals,pmUSD,below,-101,2026-04-20T02:04:09.000Z,2026-04-20T02:19:38.000Z,929,0.989748,0.989748,0.989873,0.9998424896597251,live
89657,pmusd-precious-metals,pmUSD,below,-100,2026-04-20T01:34:55.000Z,2026-04-20T01:49:07.000Z,852,0.98981,0.98981,0.989894,0.9998226377192754,live
89659,dola-inverse-finance,DOLA,below,-160,2026-04-20T01:34:55.000Z,2026-04-20T02:34:47.000Z,3592,0.989664,0.98383,0.9901008729998373,0.9998226377192754,live
89656,pmusd-precious-metals,pmUSD,below,-102,2026-04-19T21:34:35.000Z,2026-04-20T01:19:16.000Z,13481,0.9896902352990734,0.989626,0.989891,0.9998050343695701,live
89655,dola-inverse-finance,DOLA,below,-102,2026-04-19T20:34:46.000Z,2026-04-19T21:19:39.000Z,2693,0.989561,0.989561,0.990464,0.999780309477825,live
89654,pmusd-precious-metals,pmUSD,below,-100,2026-04-19T20:04:48.000Z,2026-04-19T20:19:54.000Z,906,0.9898261856809031,0.9898261856809031,0.9898261856809031,0.9998296602228428,live
89653,pmusd-precious-metals,pmUSD,below,-100,2026-04-19T19:34:54.000Z,2026-04-19T19:49:30.000Z,876,0.9898620000000001,0.9898620000000001,0.9898261856809031,0.9998313104456856,live
89651,pmusd-precious-metals,pmUSD,below,-100,2026-04-19T19:04:42.000Z,2026-04-19T19:19:39.000Z,897,0.989778,0.989778,0.9898620000000001,0.9997952844897423,live
